iter	Passed	Remaining
0	690	689686
1	1245	621680
2	1758	584436
3	2409	600040
4	2988	594641
5	3573	591942
6	4051	574701
7	4516	560042
8	5027	553615
9	5498	544314
10	6036	542700
11	6623	545327
12	7124	540906
13	7621	536737
14	8233	540649
15	8696	534831
16	9198	531895
17	9707	529600
18	10281	530845
19	10826	530488
20	11439	533283
21	11907	529354
22	12472	529817
23	12964	527221
24	13468	525257
25	13996	524316
26	14531	523668
27	15068	523085
28	15616	522888
29	16117	521122
30	16661	520810
31	17109	517555
32	17529	513673
33	17983	510945
34	18478	509471
35	19056	510284
36	19530	508318
37	20039	507318
38	20550	506392
39	21065	505574
40	21562	504346
41	22035	502612
42	22586	502671
43	23129	502531
44	23586	500560
45	24033	498443
46	24559	497981
47	25016	496151
48	25559	496072
49	26044	494844
50	26547	493989
51	26991	492081
52	27561	492468
53	28049	491394
54	28569	490878
55	29024	489271
56	29565	489128
57	30044	487962
58	30559	487403
59	31083	486974
60	31565	485906
61	32040	484738
62	32486	483165
63	32979	482318
64	33486	481683
65	33888	479571
66	34363	478520
67	34812	477140
68	35345	476914
69	35826	475985
70	36309	475096
71	36803	474352
72	37342	474204
73	37807	473100
74	38310	472493
75	38744	471045
76	39260	470613
77	39775	470164
78	40238	469114
79	40743	468550
80	41283	468392
81	41782	467759
82	42214	466390
83	42740	466077
84	43267	465764
85	43770	465184
86	44326	465178
87	44802	464312
88	45208	462756
89	45634	461418
90	46116	460654
91	46628	460206
92	47112	459476
93	47641	459178
94	48134	458545
95	48609	457738
96	49088	456974
97	49595	456476
98	50071	455705
99	50531	454781
100	51056	454450
101	51606	454337
102	52144	454111
103	52662	453707
104	53211	453566
105	53783	453605
106	54261	452853
107	54785	452491
108	55329	452281
109	55789	451385
110	56282	450763
111	56747	449927
112	57242	449326
113	57753	448853
114	58275	448466
115	58788	448007
116	59281	447396
117	59837	447256
118	60335	446687
119	60821	446025
120	61271	445106
121	61823	444927
122	62338	444476
123	62825	443829
124	63313	443196
125	63877	443089
126	64406	442730
127	64923	442293
128	65388	441498
129	65909	441083
130	66374	440301
131	66861	439663
132	67365	439144
133	67812	438249
134	68295	437599
135	68785	436989
136	69256	436266
137	69736	435598
138	70229	435019
139	70699	434294
140	71172	433594
141	71687	433156
142	72215	432788
143	72691	432111
144	73154	431359
145	73599	430508
146	74088	429916
147	74593	429419
148	75125	429074
149	75588	428336
150	76063	427668
151	76637	427555
152	77151	427106
153	77673	426702
154	78142	426005
155	78635	425439
156	79110	424777
157	79575	424065
158	80119	423774
159	80632	423320
160	81167	422980
161	81656	422398
162	82155	421864
163	82609	421108
164	83100	420540
165	83605	420039
166	84066	419325
167	84580	418873
168	85053	418219
169	85524	417562
170	86044	417138
171	86546	416632
172	87002	415901
173	87539	415562
174	88057	415126
175	88560	414626
176	89051	414065
177	89590	413728
178	90095	413229
179	90604	412755
180	91072	412090
181	91627	411821
182	92091	411138
183	92592	410629
184	93076	410040
185	93537	409351
186	94035	408827
187	94539	408328
188	95114	408134
189	95633	407701
190	96097	407029
191	96601	406530
192	97097	406000
193	97614	405554
194	98085	404917
195	98586	404404
196	99110	403989
197	99654	403649
198	100152	403125
199	100659	402636
200	101123	401980
201	101645	401550
202	102084	400794
203	102584	400282
204	103064	399689
205	103564	399175
206	104026	398516
207	104492	397875
208	104944	397181
209	105491	396848
210	106015	396425
211	106430	395598
212	106904	394993
213	107405	394489
214	107948	394139
215	108429	393558
216	108961	393165
217	109500	392796
218	110065	392515
219	110584	392073
220	111063	391486
221	111587	391060
222	112100	390593
223	112648	390245
224	113146	389727
225	113660	389260
226	114159	388745
227	114709	388402
228	115221	387930
229	115713	387389
230	116179	386762
231	116657	386175
232	117204	385818
233	117738	385418
234	118282	385048
235	118785	384543
236	119361	384274
237	119828	383653
238	120344	383190
239	120835	382644
240	121280	381957
241	121821	381571
242	122280	380931
243	122825	380558
244	123335	380074
245	123856	379625
246	124288	378902
247	124748	378271
248	125279	377851
249	125820	377462
250	126292	376865
251	126814	376417
252	127305	375878
253	127819	375405
254	128336	374943
255	128867	374521
256	129449	374245
257	129915	373631
258	130465	373262
259	130962	372740
260	131512	372367
261	131986	371778
262	132511	371333
263	133020	370845
264	133481	370221
265	134001	369762
266	134463	369146
267	134972	368656
268	135457	368103
269	135949	367566
270	136419	366972
271	136895	366397
272	137402	365904
273	137890	365358
274	138402	364880
275	138925	364428
276	139379	363794
277	139889	363309
278	140324	362630
279	140771	361984
280	141262	361452
281	141783	360995
282	142269	360450
283	142769	359940
284	143301	359511
285	143754	358884
286	144298	358484
287	144790	357954
288	145275	357408
289	145836	357048
290	146332	356527
291	146835	356025
292	147376	355614
293	147861	355069
294	148386	354619
295	148864	354055
296	149332	353471
297	149894	353106
298	150349	352490
299	150807	351883
300	151359	351495
301	151926	351141
302	152488	350774
303	153012	350318
304	153549	349892
305	154087	349467
306	154573	348922
307	155098	348467
308	155608	347978
309	156097	347443
310	156612	346965
311	157142	346519
312	157684	346099
313	158203	345629
314	158684	345075
315	159208	344616
316	159691	344066
317	160227	343633
318	160744	343156
319	161223	342600
320	161766	342179
321	162263	341659
322	162691	340996
323	163112	340321
324	163646	339881
325	164106	339287
326	164597	338759
327	165062	338176
328	165549	337639
329	166036	337103
330	166500	336522
331	167019	336050
332	167498	335499
333	167963	334921
334	168472	334431
335	169022	334020
336	169579	333622
337	170035	333027
338	170516	332481
339	170948	331841
340	171433	331304
341	171886	330705
342	172413	330250
343	172913	329742
344	173450	329305
345	173972	328838
346	174447	328282
347	174917	327719
348	175435	327244
349	175926	326720
350	176360	326091
351	176851	325567
352	177316	324996
353	177821	324498
354	178420	324171
355	178935	323691
356	179454	323219
357	180006	322805
358	180531	322340
359	180984	321750
360	181457	321194
361	181942	320660
362	182451	320169
363	182992	319734
364	183472	319191
365	183985	318707
366	184533	318283
367	185046	317797
368	185527	317257
369	186033	316759
370	186473	316149
371	186956	315614
372	187445	315089
373	187970	314623
374	188444	314073
375	188958	313590
376	189436	313047
377	189951	312566
378	190459	312072
379	190930	311517
380	191467	311071
381	191992	310605
382	192542	310178
383	193052	309688
384	193489	309080
385	193984	308566
386	194520	308117
387	194995	307569
388	195477	307035
389	195979	306531
390	196465	306004
391	196981	305521
392	197465	304990
393	197939	304445
394	198475	303994
395	198987	303506
396	199480	302988
397	199995	302505
398	200546	302076
399	201114	301671
400	201594	301134
401	202055	300569
402	202501	299983
403	202997	299471
404	203513	298989
405	204021	298494
406	204501	297958
407	204952	297382
408	205419	296829
409	205932	296341
410	206387	295771
411	206822	295173
412	207283	294613
413	207761	294078
414	208315	293649
415	208850	293193
416	209318	292644
417	209820	292141
418	210259	291552
419	210828	291144
420	211377	290706
421	211826	290131
422	212308	289602
423	212816	289109
424	213298	288579
425	213793	288069
426	214326	287608
427	214866	287157
428	215303	286569
429	215792	286051
430	216259	285503
431	216779	285025
432	217301	284549
433	217792	284033
434	218322	283568
435	218786	283017
436	219258	282476
437	219714	281916
438	220261	281472
439	220775	280986
440	221296	280509
441	221861	280087
442	222406	279640
443	222896	279122
444	223487	278731
445	223957	278189
446	224403	277617
447	224811	277000
448	225252	276422
449	225762	275931
450	226311	275488
451	226786	274953
452	227253	274409
453	227723	273870
454	228270	273422
455	228762	272909
456	229290	272439
457	229790	271935
458	230310	271455
459	230833	270978
460	231367	270514
461	231816	269950
462	232385	269527
463	232860	268994
464	233363	268493
465	233875	268003
466	234401	267528
467	234950	267080
468	235449	266575
469	235933	266052
470	236427	265541
471	236920	265029
472	237477	264589
473	238004	264114
474	238541	263650
475	239007	263108
476	239573	262676
477	240029	262124
478	240543	261634
479	241047	261135
480	241594	260680
481	242139	260224
482	242670	259752
483	243211	259291
484	243690	258763
485	244188	258256
486	244696	257760
487	245158	257215
488	245610	256660
489	246081	256126
490	246639	255681
491	247125	255162
492	247697	254731
493	248202	254231
494	248720	253745
495	249245	253265
496	249708	252723
497	250229	252239
498	250738	251743
499	251264	251264
500	251736	250731
501	252255	250245
502	252801	249786
503	253343	249322
504	253854	248827
505	254405	248371
506	254959	247918
507	255444	247399
508	255937	246886
509	256375	246321
510	256868	245809
511	257324	245262
512	257811	244745
513	258276	244207
514	258739	243667
515	259219	243143
516	259694	242615
517	260247	242160
518	260718	241629
519	261149	241060
520	261620	240530
521	262163	240065
522	262715	239608
523	263179	239071
524	263698	238584
525	264199	238080
526	264680	237559
527	265155	237032
528	265620	236497
529	266128	236000
530	266564	235440
531	267092	234961
532	267542	234413
533	268068	233932
534	268575	233434
535	269040	232900
536	269533	232391
537	270024	231879
538	270533	231384
539	270978	230833
540	271512	230359
541	272003	229847
542	272533	229369
543	273089	228913
544	273589	228409
545	274121	227932
546	274616	227424
547	275097	226904
548	275599	226403
549	276101	225900
550	276527	225337
551	277001	224813
552	277489	224299
553	278006	223810
554	278491	223295
555	279044	222833
556	279557	222341
557	280064	221843
558	280617	221381
559	281146	220900
560	281646	220397
561	282169	219911
562	282665	219404
563	283156	218894
564	283584	218334
565	284097	217841
566	284612	217349
567	285137	216865
568	285713	216419
569	286187	215895
570	286678	215385
